nome,squadra,ruolo,qt
Svilar,Roma,P,18
J. Martinez,Inter,P,17
Carnesecchi,Atalanta,P,16
Butez,Como,P,16
Maignan,Milan,P,15
De Gea,Fiorentina,P,13
Meret,Napoli,P,11
Di Gregorio,Juventus,P,9
Falcone,Lecce,P,8
Suzuki,Parma,P,7
Dimarco,Inter,D,32
Wesley,Roma,D,17
Akanji,Inter,D,16
Bremer,Juventus,D,15
Mancini,Roma,D,15
Bastoni,Inter,D,14
Pavlovic,Milan,D,14
Rrahmani,Napoli,D,14
Di Lorenzo,Napoli,D,12
Scalvini,Atalanta,D,10
Dodo,Fiorentina,D,10
Cambiaso,Juventus,D,9
Zappacosta,Atalanta,D,8
Spinazzola,Napoli,D,8
Miranda,Bologna,D,7
Carlos Augusto,Inter,D,7
Gabbia,Milan,D,6
Kempf,Como,D,5
Gila,Lazio,D,5
Buongiorno,Napoli,D,6
Nico Paz,Como,C,30
McTominay,Napoli,C,28
Calhanoglu,Inter,C,27
Orsolini,Bologna,C,26
Pulisic,Milan,C,25
Rabiot,Milan,C,22
Baturina,Como,C,19
Zaniolo,Udinese,C,18
Barella,Inter,C,17
Zaccagni,Lazio,C,16
De Bruyne,Napoli,C,15
Modric,Milan,C,12
Samardzic,Atalanta,C,12
Conceicao,Juventus,C,12
Mastantuono,Roma,C,12
Fabbian,Bologna,C,9
Anguissa,Napoli,C,9
Loftus-Cheek,Milan,C,8
Frattesi,Inter,C,8
Cristante,Roma,C,6
Lautaro Martinez,Inter,A,35
Malen,Roma,A,34
Thuram,Inter,A,29
Hojlund,Napoli,A,28
Goncalo Ramos,Milan,A,27
Kolo Muani,Juventus,A,26
Kean,Fiorentina,A,25
Yildiz,Juventus,A,23
Scamacca,Atalanta,A,19
Leao,Milan,A,18
Berardi,Sassuolo,A,18
De Ketelaere,Atalanta,A,17
Dybala,Roma,A,14
Raspadori,Napoli,A,13
Soule,Roma,A,12
Dia,Lazio,A,10
Castro,Bologna,A,9
Pio Esposito,Inter,A,8
Colombo,Genoa,A,7
Lucca,Napoli,A,7
